,article_id,description
0,715624008,becka hoodie hoodie garment upper body solid beige medium dusty beige basic divided divided divided basics jersey basic long sleeved top in soft sweatshirt fabric with jersey lined drawstring hood kangaroo pocket and ribbing at the cuffs and hem soft brushed inside becka hoodie hoodie garment upper body solid beige medium dusty beige basic divided divided divided basics jersey basic long sleeved top in soft sweatshirt fabric with jersey lined drawstring hood kangaroo pocket and ribbing at the cuffs and hem soft brushed inside
1,783388001,pepper cropped sweater sweater garment upper body solid black dark black basic divided divided divided basics jersey basic cropped top in soft sweatshirt fabric with turtle neck low dropped shoulders long sleeves and ribbing around the neckline cuffs and hem soft brushed inside pepper cropped sweater sweater garment upper body solid black dark black basic divided divided divided basics jersey basic cropped top in soft sweatshirt fabric with turtle neck low dropped shoulders long sleeves and ribbing around the neckline cuffs and hem soft brushed inside
2,733098009,minja top top garment upper body all over pattern yellowish brown dark brown jersey fancy ladieswear ladieswear womens everyday collection jersey fancy fitted polo neck top in soft modal jersey with long sleeves minja top top garment upper body all over pattern yellowish brown dark brown jersey fancy ladieswear ladieswear womens everyday collection jersey fancy fitted polo neck top in soft modal jersey with long sleeves
3,762015003,bruno scarf scarf accessories check yellowish brown dark brown scarves ladies accessories ladieswear womens big accessories accessories scarf in woven fabric with soft brushed finish fringes on the short sides bruno scarf scarf accessories check yellowish brown dark brown scarves ladies accessories ladieswear womens big accessories accessories scarf in woven fabric with soft brushed finish fringes on the short sides
4,808919001,jadyn sneaker sneakers shoes solid black dark black sneakers ladies accessories ladieswear womens shoes shoes trainers in mesh with lacing at the front and grosgrain loops front and back mesh linings and insoles and fluted soles jadyn sneaker sneakers shoes solid black dark black sneakers ladies accessories ladieswear womens shoes shoes trainers in mesh with lacing at the front and grosgrain loops front and back mesh linings and insoles and fluted soles
5,730683006,havana hw tights leggings tights garment lower body all over pattern dark grey dark grey ladies sport bottoms sport sport ladies sport jersey fancy sports tights in fast drying functional fabric with high waist and wide waistband to hold in and shape the waist sculpting seams at the back that showcase the body physique concealed key pocket in the waistband havana hw tights leggings tights garment lower body all over pattern dark grey dark grey ladies sport bottoms sport sport ladies sport jersey fancy sports tights in fast drying functional fabric with high waist and wide waistband to hold in and shape the waist sculpting seams at the back that showcase the body physique concealed key pocket in the waistband
6,757903002,bengal scarf scarf accessories solid red bright red scarves ladies accessories ladieswear womens big accessories accessories scarf in soft weave with fringes on the short sides bengal scarf scarf accessories solid red bright red scarves ladies accessories ladieswear womens big accessories accessories scarf in soft weave with fringes on the short sides
7,752814015,milk rw slack trousers garment lower body melange grey medium dusty grey trouser ladieswear ladieswear womens everyday collection trousers cigarette trousers in stretch twill with regular elasticated waist fake fly diagonal side pockets fake welt back pockets and ankle length legs with creases milk rw slack trousers garment lower body melange grey medium dusty grey trouser ladieswear ladieswear womens everyday collection trousers cigarette trousers in stretch twill with regular elasticated waist fake fly diagonal side pockets fake welt back pockets and ankle length legs with creases
8,608776002,scallop socks socks socks tights solid black dark black shopbasket socks lingeries tights ladieswear womens nightwear socks tigh socks and tights fine knit socks with scalloped edge scallop socks socks socks tights solid black dark black shopbasket socks lingeries tights ladieswear womens nightwear socks tigh socks and tights fine knit socks with scalloped edge
9,775996012,alex sweater sweater garment upper body melange light grey dusty light grey knitwear ladieswear ladieswear womens casual knitwear boxy style jumper in soft knit containing some wool with round neck dropped shoulders and long sleeves ribbing around the neckline cuffs and hem alex sweater sweater garment upper body melange light grey dusty light grey knitwear ladieswear ladieswear womens casual knitwear boxy style jumper in soft knit containing some wool with round neck dropped shoulders and long sleeves ribbing around the neckline cuffs and hem
10,608776020,scallop socks socks socks tights contrast black dark black shopbasket socks lingeries tights ladieswear womens nightwear socks tigh socks and tights fine knit socks with scalloped edge scallop socks socks socks tights contrast black dark black shopbasket socks lingeries tights ladieswear womens nightwear socks tigh socks and tights fine knit socks with scalloped edge
11,783925002,puff sweater sweater garment upper body solid green dusty light green knitwear ladieswear ladieswear womens casual knitwear jumper in soft fine knit containing some wool relaxed fit with gently dropped shoulders and ribbing around the neckline cuffs and hem puff sweater sweater garment upper body solid green dusty light green knitwear ladieswear ladieswear womens casual knitwear jumper in soft fine knit containing some wool relaxed fit with gently dropped shoulders and ribbing around the neckline cuffs and hem
12,669708001,madonna off shoulder blouse garment upper body glittering metallic black dark black tops woven divided divided divided collection blouses short off the shoulder top in an airy weave with sheen elastication at the top long sleeves and elastication and flounce at the cuffs and hem madonna off shoulder blouse garment upper body glittering metallic black dark black tops woven divided divided divided collection blouses short off the shoulder top in an airy weave with sheen elastication at the top long sleeves and elastication and flounce at the cuffs and hem
13,622955007,carolina ankle boots shoes solid black dark black boots ladies accessories ladieswear womens shoes shoes boots with an ankle height shaft lacing at the front and loop at the back pile linings and insoles and chunky soles heel cm carolina ankle boots shoes solid black dark black boots ladies accessories ladieswear womens shoes shoes boots with an ankle height shaft lacing at the front and loop at the back pile linings and insoles and chunky soles heel cm
